Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,fraud_probability,is_predicted_fraud
951,2020-06-21 17:40:54,4292743669224718067,"fraud_Haley, Jewess and Bechtelar",shopping_pos,3204.98,Michael,Williams,M,35822 Clayton Street Apt. 679,Great Mills,MD,20634,38.2674,-76.4954,5927,Art therapist,1973-06-09,cdb7839b9b57c1bd8f856c3166b0e9db,1371836454,37.480372,-77.34958,0,0.9235338,1
999,2020-06-21 17:55:33,4933461930348832,fraud_Kessler Group,travel,2068.05,Richard,Carter,M,5097 Martin Ridges,Minneapolis,MN,55403,44.9673,-93.2828,1022298,Chemical engineer,1976-09-29,904e99f9a81c33371549da1ed53ac282,1371837333,44.444997,-93.515788,0,0.64976454,1
1044,2020-06-21 18:08:47,4302480582202074,"fraud_Towne, Greenholt and Koepp",shopping_net,981.92,David,Rodriguez,M,821 Solis Points,Muskegon,MI,49440,43.2326,-86.2492,128715,Historic buildings inspector/conservation officer,1995-05-25,3b1e799de5fa593a74b851b9d5f8bbe1,1371838127,43.849101,-85.560458,0,0.8575406,1
1398,2020-06-21 20:15:59,4956828990005111019,fraud_Kassulke PLC,shopping_net,1420.9,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,NJ,7208,40.6747,-74.2239,124967,Operational researcher,1980-12-21,6228a57f008628933ac25b0c67c7c43a,1371845759,41.030466,-74.717381,0,0.96838903,1
1428,2020-06-21 20:31:19,5540636818935089,fraud_Volkman-Predovic,shopping_net,2271.66,Kenneth,Foster,M,329 Michael Extension,Lawrence,MA,1843,42.6911,-71.1605,76383,Geoscientist,1985-04-04,f0c428ca5e8084b0753eca7828a74f67,1371846679,43.622853000000006,-71.020822,0,0.91127056,1
1687,2020-06-21 22:07:34,4560004149983868183,"fraud_Baumbach, Hodkiewicz and Walsh",shopping_pos,661.5,Stacy,Villegas,F,20581 Pena Walks,Colorado Springs,CO,80951,38.8881,-104.6556,525713,Museum/gallery exhibitions officer,1992-05-09,a5160620c59f7c95647dae16dcc4ad48,1371852454,38.65905,-103.747452,0,0.5074442,1
1695,2020-06-21 22:09:41,4427805710168,fraud_Lebsack and Sons,misc_net,890.22,Michelle,Rodriguez,F,1742 Brandon Squares Apt. 461,Ruidoso,NM,88355,33.3305,-105.6933,8874,Licensed conveyancer,2000-08-16,670e9fd071e3745d6d90b5ee5f29c64c,1371852581,34.154798,-106.551531,0,0.9382892,1
1767,2020-06-21 22:32:22,6564459919350820,"fraud_Rodriguez, Yost and Jenkins",misc_net,780.52,Douglas,Willis,M,619 Jeremy Garden Apt. 681,Benton,WI,53803,42.5545,-90.3508,1306,Public relations officer,1958-09-10,ab4b379d2c0c9c667d46508d4e126d72,1371853942,42.461127000000005,-91.147148,1,0.9921508,1
1781,2020-06-21 22:37:27,6564459919350820,fraud_Nienow PLC,entertainment,620.33,Douglas,Willis,M,619 Jeremy Garden Apt. 681,Benton,WI,53803,42.5545,-90.3508,1306,Public relations officer,1958-09-10,47a9987ae81d99f7832a54b29a77bf4b,1371854247,42.771834000000005,-90.158365,1,0.92922795,1
1857,2020-06-21 23:02:16,3560725013359375,fraud_Hermann and Sons,shopping_pos,842.65,Brooke,Smith,F,63542 Luna Brook Apt. 012,Notrees,TX,79759,31.8599,-102.7413,23,Cytogeneticist,1969-09-15,f6838c01f5d2262006e6b71d33ba7c6d,1371855736,31.315782,-102.73639,1,0.7259675,1
2026,2020-06-21 23:59:05,6564459919350820,fraud_Lemke-Gutmann,shopping_net,955.16,Douglas,Willis,M,619 Jeremy Garden Apt. 681,Benton,WI,53803,42.5545,-90.3508,1306,Public relations officer,1958-09-10,1799ffe421a2a05dc87903e379140f55,1371859145,43.027879,-90.493768,1,0.98290676,1
2039,2020-06-22 00:06:40,4005676619255478,"fraud_Rodriguez, Yost and Jenkins",misc_net,701.81,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,720905fa777ec90291cfd002fd12d67f,1371859600,30.652786,-90.206798,1,0.94719994,1
2049,2020-06-22 00:14:20,372509258176510,fraud_Schmitt Ltd,misc_net,432.31,Kristen,Hanson,F,26544 Andrea Glen,Goodrich,MI,48438,42.9147,-83.4845,6951,Learning disability nurse,1985-06-18,335f56dd328ecb4f1c2a476a538fcd6a,1371860060,43.283413,-83.54444000000001,0,0.84086764,1
2071,2020-06-22 00:29:42,3551217896304745,fraud_Huel-Langworth,misc_net,722.94,Sara,Harris,F,597 Jenny Ford Apt. 543,Tupper Lake,NY,12986,44.232,-74.4905,6120,Chartered loss adjuster,1976-10-09,67a93a8de98219a3efa811c0dc437636,1371860982,45.08194,-73.750262,0,0.83433443,1
2161,2020-06-22 01:14:22,4259996134423,"fraud_Kerluke, Considine and Macejkovic",misc_net,978.39,Julie,Johnson,F,9331 Robert Passage Suite 327,Hudson,KS,67545,38.1485,-98.6408,215,Probation officer,1968-11-22,74e14b89e8d7ffcd0ebc6861e3d53a7b,1371863662,38.053129,-98.278097,0,0.7645829,1
2187,2020-06-22 01:23:39,6011367958204270,fraud_Smith-Stokes,misc_pos,316.82,Tammy,Ayers,F,1652 James Mews,Hinckley,OH,44233,41.2419,-81.7453,7646,Medical sales representative,1988-09-15,5d78b6c2e1b38b226cbf843645b0842a,1371864219,40.897922,-81.031235,0,0.7661382,1
2433,2020-06-22 03:21:09,3513285035244624,fraud_Huel Ltd,misc_net,875.04,Ariana,Campbell,F,50932 Neal Valley,Daniels,WV,25832,37.7256,-81.1087,3994,"Biochemist, clinical",1936-11-05,5b0f6327129de1c595c2c83afcfd6539,1371871269,37.314284,-81.025239,0,0.7908668,1
2467,2020-06-22 03:38:35,4005676619255478,"fraud_Kerluke, Considine and Macejkovic",misc_net,868.48,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,2316b3d5045b9dcba383d5c27031ea4a,1371872315,30.283263,-90.606406,1,0.9192702,1
2650,2020-06-22 04:58:25,3524574586339330,fraud_Schumm PLC,shopping_net,967.86,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633000000000003,-80.4031,105638,"Librarian, public",1986-05-07,4ee010ce369915da173469857effcea5,1371877105,28.218323,-80.97967,1,0.5938487,1
